Book,Type,Price,Stocks,Review
Mothering Sunday,Fiction,£13.34,11,2
"Mother, Can You Not?",Nonfiction,£16.89,11,5
M Train,Autobiography,£27.18,11,1
Lilac Girls,Historical Fiction,£17.28,11,2
Lies and Other Acts of Love,Fiction,£45.14,11,1
Lab Girl,Autobiography,£40.85,11,1
Keep Me Posted,Womens Fiction,£20.46,11,4
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Psychology,£56.27,11,3
Grey (Fifty Shades #4),Womens Fiction,£48.49,11,4
"Exit, Pursued by a Bear",Young Adult,£51.34,11,4
Daredevils,Fiction,£16.34,11,3
Cravings: Recipes for What You Want to Eat,Food and Drink,£20.50,11,3
Born for This: How to Find the Work You Were Meant to Do,Business,£21.59,11,5
Arena,Science Fiction,£21.36,11,4
Adultery,Default,£20.88,11,5
A Mother's Reckoning: Living in the Aftermath of Tragedy,Nonfiction,£19.53,11,3
A Gentleman's Position (Society of Gentlemen #3),Romance,£14.75,11,5
11/22/63,Fiction,£48.48,11,3
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Nonfiction,£24.57,10,2
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,Health,£49.71,10,5
Without Shame,Add a comment,£48.27,9,5
Watchmen,Add a comment,£58.05,9,4
Unlimited Intuition Now,Default,£58.87,9,4
Underlying Notes,Default,£11.82,9,2
The Shack,Fiction,£28.03,9,1
The New Brand You: Your New Image Makes the Sale for You,Default,£44.05,9,5
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",Food and Drink,£12.34,9,4
The Flowers Lied,Default,£16.68,9,2
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Science,£55.91,9,1
The Book of Mormon,Religion,£24.57,9,3
The Art and Science of Low Carbohydrate Living,Health,£52.98,9,5
The Alien Club,Young Adult,£54.40,9,1
Suzie Snowflake: One beautiful flake (a self-esteem story),Novels,£54.81,9,5
Nap-a-Roo,Childrens,£25.08,9,1
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",Default,£10.41,9,4
Modern Day Fables,Default,£47.44,9,2
If I Gave You God's Phone Number....: Searching for Spirituality in America,Spirituality,£20.91,9,1
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Sequential Art,£33.95,9,4
Dress Your Family in Corduroy and Denim,Humor,£43.68,9,3
Don't Forget Steven,Young Adult,£33.23,9,1
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,Nonfiction,£35.92,9,2
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,Art,£48.63,9,4
A Shard of Ice (The Black Symphony Saga #1),Fantasy,£56.63,9,3
A Hero's Curse (The Unseen Chronicles #1),Add a comment,£50.49,9,3
23 Degrees South: A Tropical Tale of Changing Whether...,Add a comment,£35.79,9,2
"Zero to One: Notes on Startups, or How to Build the Future",Nonfiction,£34.06,8,3
Why Not Me?,Nonfiction,£17.76,8,1
When Breath Becomes Air,Nonfiction,£39.36,8,2
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,£36.94,8,2
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),Default,£43.62,8,5
The New Drawing on the Right Side of the Brain,Art,£43.02,8,3
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",Nonfiction,£28.45,8,4
The Martian (The Martian #1),Default,£41.39,8,2
The High Mountains of Portugal,Fiction,£51.15,8,1
The Grownup,Short Stories,£35.88,8,1
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Business,£36.91,8,1
South of Sunshine,Young Adult,£28.93,8,1
Smarter Faster Better: The Secrets of Being Productive in Life and Business,Nonfiction,£38.89,8,5
Silence in the Dark (Logan Point #4),Suspense,£58.33,8,3
Shadows of the Past (Logan Point #1),Christian Fiction,£39.67,8,5
Roller Girl,Sequential Art,£14.10,8,5
Rising Strong,Nonfiction,£21.82,8,3
Proofs of God: Classical Arguments from Tertullian to Barth,Philosophy,£54.21,8,1
Please Kill Me: The Uncensored Oral History of Punk,Music,£31.19,8,4
Out of Print: City Lights Spotlight No. 14,Poetry,£53.64,8,5
My Life Next Door (My Life Next Door ),Young Adult,£36.39,8,5
Miller's Valley,Fiction,£58.54,8,2
Man's Search for Meaning,Nonfiction,£29.48,8,3
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",Nonfiction,£25.06,8,2
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,Nonfiction,£12.55,8,3
Les Fleurs du Mal,Poetry,£29.04,8,5
Left Behind (Left Behind #1),Default,£40.72,8,2
Kill 'Em and Leave: Searching for James Brown and the American Soul,Music,£45.05,8,5
Kierkegaard: A Christian Missionary to Christians,Philosophy,£47.13,8,1
John Vassos: Industrial Design for Modern Life,Default,£20.22,8,4
I'll Give You the Sun,Default,£56.48,8,1
I Will Find You,Nonfiction,£44.21,8,1
Hystopia: A Novel,Fiction,£21.96,8,4
Howl and Other Poems,Poetry,£40.45,8,2
History of Beauty,Art,£10.29,8,4
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Default,£52.86,8,2
Future Shock (Future Shock #1),Young Adult,£55.65,8,5
Ender's Game (The Ender Quintet #1),Default,£43.64,8,1
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,Science,£28.41,8,1
Death by Leisure: A Cautionary Tale,Default,£37.51,8,4
Brilliant Beacons: A History of the American Lighthouse,History,£11.45,8,3
Brazen: The Courage to Find the You That's Been Hiding,Nonfiction,£19.22,8,2
Between the World and Me,Nonfiction,£56.91,8,4
Being Mortal: Medicine and What Matters in the End,Nonfiction,£55.06,8,4
"A Murder Over a Girl: Justice, Gender, Junior High",Nonfiction,£13.20,8,3
32 Yolks,Food and Drink,£53.63,8,2
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",History,£44.48,8,5
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Self Help,£12.08,7,3
Wildlife of New York: A Five-Borough Coloring Book,Default,£22.14,7,2
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,£25.37,7,5
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,Spirituality,£46.33,7,2
Under the Tuscan Sun,Travel,£37.33,7,3
Toddlers Are A**holes: It's Not Your Fault,Humor,£25.55,7,1
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,Default,£34.72,7,1
The Whale,Childrens,£35.96,7,4
The Story of Art,Art,£41.14,7,4
The Origin of Species,Science,£10.01,7,4
The Great Gatsby,Default,£36.05,7,4
The Good Girl,Default,£49.03,7,3
The Glass Castle,Add a comment,£16.24,7,1
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,Biography,£39.55,7,1
The Drowning Girls,Add a comment,£35.67,7,3
The Constant Princess (The Tudor Court #1),Historical Fiction,£16.62,7,3
The Bourne Identity (Jason Bourne #1),Fiction,£42.78,7,4
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,£52.30,7,5
The Art Book,Art,£32.34,7,2
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Default,£33.17,7,4
Team of Rivals: The Political Genius of Abraham Lincoln,Add a comment,£20.12,7,5
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Default,£20.90,7,2
"Sit, Stay, Love",Romance,£20.90,7,3
Sister Dear,Fiction,£40.20,7,4
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",Childrens,£52.87,7,3
"Rich Dad, Poor Dad",Business,£51.74,7,1
Raymie Nightingale,Childrens,£34.41,7,2
Playing from the Heart,Childrens,£32.38,7,1
Nightstruck: A Novel,Young Adult,£50.35,7,4
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",Food and Drink,£11.38,7,5
Meternity,Womens Fiction,£43.58,7,3
Memoirs of a Geisha,Fiction,£49.67,7,3
Like Never Before (Walker Family #2),Christian Fiction,£28.77,7,2
Life of Pi,Default,£13.22,7,4
Leave This Song Behind: Teen Poetry at Its Best,Poetry,£51.17,7,5
King's Folly (The Kinsman Chronicles #1),Fantasy,£39.61,7,5
John Adams,Add a comment,£57.43,7,4
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),Food and Drink,£46.01,7,4
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,Food and Drink,£28.25,7,2
Good in Bed (Cannie Shapiro #1),Add a comment,£37.05,7,5
"Fruits Basket, Vol. 7 (Fruits Basket #7)",Sequential Art,£19.57,7,1
For the Love: Fighting for Grace in a World of Impossible Standards,Nonfiction,£45.13,7,3
Finding God in the Ruins: How God Redeems Pain,Nonfiction,£46.64,7,2
Every Heart a Doorway (Every Heart A Doorway #1),Fantasy,£12.16,7,5
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,£20.89,7,4
Counted With the Stars (Out from Egypt #1),Christian Fiction,£17.97,7,5
"Chronicles, Vol. 1",Music,£52.60,7,2
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Christian,£25.77,7,1
Benjamin Franklin: An American Life,Biography,£48.19,7,3
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Philosophy,£29.93,7,5
A Summer In Europe,Travel,£44.34,7,2
A Short History of Nearly Everything,History,£52.40,7,5
A Gathering of Shadows (Shades of Magic #2),Fantasy,£44.81,7,4
The Sound Of Love,Default,£57.84,6,5
The Rise and Fall of the Third Reich: A History of Nazi Germany,History,£39.67,6,2
The Perks of Being a Wallflower,Default,£55.02,6,3
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,£24.80,6,4
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Nonfiction,£59.45,6,4
The Makings of a Fatherless Child,Default,£31.58,6,2
The Joy of Cooking,Add a comment,£43.27,6,4
The Invention of Wings,Historical Fiction,£37.34,6,1
The Hobbit (Middle-Earth Universe),Default,£17.80,6,5
The Great Railway Bazaar,Travel,£30.54,6,1
The Golden Compass (His Dark Materials #1),Add a comment,£18.77,6,1
The God Delusion,Add a comment,£46.85,6,3
The Girl You Left Behind (The Girl You Left Behind #1),Historical,£15.79,6,1
The Fellowship of the Ring (The Lord of the Rings #1),Default,£10.27,6,2
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),Poetry,£15.42,6,5
The Barefoot Contessa Cookbook,Food and Drink,£59.92,6,5
Tell the Wolves I'm Home,Young Adult,£50.96,6,2
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,Default,£30.60,6,3
Pride and Prejudice,Add a comment,£19.27,6,4
Musicophilia: Tales of Music and the Brain,Default,£46.58,6,1
Mere Christianity,Add a comment,£48.51,6,3
Me Before You (Me Before You #1),Fiction,£19.02,6,1
In the Woods (Dublin Murder Squad #1),Mystery,£38.38,6,2
In Cold Blood,Nonfiction,£49.98,6,4
How to Stop Worrying and Start Living,Self Help,£46.49,6,5
Give It Back,Thriller,£18.32,6,2
"Girl, Interrupted",Nonfiction,£42.14,6,3
Fun Home: A Family Tragicomic,Add a comment,£56.59,6,4
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Sequential Art,£20.96,6,4
Deception Point,Fiction,£40.32,6,4
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Sequential Art,£36.39,6,3
Catherine the Great: Portrait of a Woman,History,£58.55,6,4
Better Homes and Gardens New Cook Book,Food and Drink,£39.61,6,3
An Unquiet Mind: A Memoir of Moods and Madness,Psychology,£21.30,6,3
A Year in Provence (Provence #1),Travel,£56.88,6,4
World Without End (The Pillars of the Earth #2),Historical Fiction,£32.97,5,4
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",Young Adult,£47.31,5,4
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,Nonfiction,£48.67,5,2
Where She Went (If I Stay #2),Young Adult,£41.73,5,4
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Default,£53.68,5,4
Two Summers,Young Adult,£14.64,5,1
This Is Your Brain on Music: The Science of a Human Obsession,Music,£38.40,5,1
The Secret Garden,Classics,£15.08,5,4
The Raven King (The Raven Cycle #4),Add a comment,£30.57,5,2
The Raven Boys (The Raven Cycle #1),Fantasy,£57.74,5,4
The Power Greens Cookbook: 140 Delicious Superfood Recipes,Food and Drink,£11.05,5,5
The Metamorphosis,Classics,£28.58,5,1
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,History,£42.91,5,5
The Little Paris Bookshop,Fiction,£24.73,5,3
The Hiding Place,History,£55.91,5,4
The Grand Design,Science,£13.76,5,3
The Firm,Fiction,£45.56,5,3
The Fault in Our Stars,Default,£47.22,5,1
The False Prince (The Ascendance Trilogy #1),Fantasy,£56.00,5,5
The Expatriates,Fiction,£44.58,5,2
The Dream Thieves (The Raven Cycle #2),Default,£34.50,5,1
The Darkest Corners,Young Adult,£11.33,5,5
The Crossover,Poetry,£38.77,5,4
The 5th Wave (The 5th Wave #1),Default,£11.83,5,2
Tell the Wind and Fire,Fantasy,£45.51,5,3
Tell Me Three Things,Young Adult,£41.81,5,1
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,Nonfiction,£25.15,5,4
Siddhartha,Fiction,£34.22,5,5
Shiver (The Wolves of Mercy Falls #1),Default,£16.23,5,5
Remember Me?,Default,£11.48,5,3
Red Dragon (Hannibal Lecter #1),Horror,£23.37,5,3
Peak: Secrets from the New Science of Expertise,Science,£16.28,5,2
My Mother Was Nuts,Nonfiction,£31.63,5,4
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,Food and Drink,£24.91,5,5
Maybe Something Beautiful: How Art Transformed a Neighborhood,Childrens,£22.54,5,1
Lola and the Boy Next Door (Anna and the French Kiss #2),Young Adult,£23.63,5,4
Logan Kade (Fallen Crest High #5.5),Academic,£13.12,5,2
Last One Home (New Beginnings #1),Fiction,£59.98,5,3
Killing Floor (Jack Reacher #1),Thriller,£31.49,5,4
Kill the Boy Band,Young Adult,£15.52,5,5
Isla and the Happily Ever After (Anna and the French Kiss #3),Young Adult,£48.13,5,5
If I Stay (If I Stay #1),Default,£38.13,5,5
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),Default,£36.55,5,2
Harry Potter and the Deathly Hallows (Harry Potter #7),Default,£23.32,5,1
"Fruits Basket, Vol. 5 (Fruits Basket #5)",Sequential Art,£16.33,5,1
Foundation (Foundation (Publication Order) #1),Science Fiction,£32.42,5,1
Fool Me Once,Default,£16.96,5,1
Find Her (Detective D.D. Warren #8),Add a comment,£22.37,5,1
Evicted: Poverty and Profit in the American City,Add a comment,£42.27,5,1
Drama,Default,£38.70,5,2
Dracula the Un-Dead,Horror,£35.63,5,5
Digital Fortress,Fiction,£58.00,5,5
"Death Note, Vol. 5: Whiteout (Death Note #5)",Sequential Art,£52.41,5,1
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",Nonfiction,£32.35,5,3
Critique of Pure Reason,Philosophy,£20.75,5,1
Booked,Poetry,£17.49,5,5
"Blue Lily, Lily Blue (The Raven Cycle #3)",Default,£34.13,5,5
Approval Junkie: Adventures in Caring Too Much,Autobiography,£58.81,5,5
An Abundance of Katherines,Young Adult,£10.00,5,5
America's War for the Greater Middle East: A Military History,History,£51.22,5,2
Alight (The Generations Trilogy #2),Default,£58.59,5,4
A Girl's Guide to Moving On (New Beginnings #2),Romance,£31.30,5,1
A Game of Thrones (A Song of Ice and Fire #1),Add a comment,£46.42,5,2
A Feast for Crows (A Song of Ice and Fire #4),Fantasy,£17.21,5,4
A Clash of Kings (A Song of Ice and Fire #2),Add a comment,£10.79,5,3
Vogue Colors A to Z: A Fashion Coloring Book,Default,£52.35,4,4
The Shining (The Shining #1),Default,£27.88,4,3
The Pilgrim's Progress,Classics,£50.26,4,2
The Perfect Play (Play by Play #1),Romance,£59.99,4,3
The Passion of Dolssa,Historical Fiction,£28.32,4,5
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,Nonfiction,£38.71,4,3
The Hunger Games (The Hunger Games #1),Default,£29.85,4,5
The Hound of the Baskervilles (Sherlock Holmes #5),Classics,£14.82,4,2
The Gunning of America: Business and the Making of American Gun Culture,Nonfiction,£16.81,4,4
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Nonfiction,£28.23,4,2
The Demonists (Demonist #1),Fantasy,£52.11,4,2
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",Sequential Art,£27.88,4,2
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),Thriller,£59.71,4,3
The Beast (Black Dagger Brotherhood #14),Fantasy,£46.08,4,5
Some Women,Womens Fiction,£13.73,4,5
Shopaholic Ties the Knot (Shopaholic #3),Womens Fiction,£48.39,4,5
Paper and Fire (The Great Library #2),Fantasy,£49.45,4,5
Outlander (Outlander #1),Default,£19.67,4,5
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",Music,£12.36,4,3
No One Here Gets Out Alive,Music,£20.02,4,5
Night Shift (Night Shift #1-20),Horror,£12.75,4,4
Needful Things,Horror,£47.51,4,4
Mockingjay (The Hunger Games #3),Default,£20.44,4,4
Misery,Horror,£34.79,4,2
Little Women (Little Women #1),Classics,£28.07,4,4
It,Horror,£25.01,4,3
Harry Potter and the Sorcerer's Stone (Harry Potter #1),Default,£13.90,4,3
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),Young Adult,£24.17,4,4
Harry Potter and the Order of the Phoenix (Harry Potter #5),Fantasy,£31.63,4,4
Harry Potter and the Half-Blood Prince (Harry Potter #6),Fantasy,£48.75,4,5
Harry Potter and the Chamber of Secrets (Harry Potter #2),Fantasy,£14.74,4,1
Gone with the Wind,Classics,£32.49,4,3
God Is Not Great: How Religion Poisons Everything,Nonfiction,£27.80,4,1
Girl With a Pearl Earring,Historical Fiction,£26.77,4,1
"Fruits Basket, Vol. 4 (Fruits Basket #4)",Sequential Art,£50.44,4,4
Far From True (Promise Falls Trilogy #2),Thriller,£34.93,4,2
Dark Lover (Black Dagger Brotherhood #1),Romance,£12.87,4,1
Confessions of a Shopaholic (Shopaholic #1),Default,£48.94,4,2
Changing the Game (Play by Play #2),Romance,£13.38,4,3
Candide,Classics,£58.63,4,3
Can You Keep a Secret?,Womens Fiction,£21.94,4,1
Atlas Shrugged,Fiction,£26.58,4,5
Animal Farm,Classics,£57.22,4,3
A Walk to Remember,Romance,£56.43,4,1
A New Earth: Awakening to Your Life's Purpose,Spirituality,£55.65,4,5
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Religion,£27.62,4,1
'Salem's Lot,Horror,£49.56,4,4
Zero History (Blue Ant #3),Default,£34.77,3,1
Wuthering Heights,Classics,£17.73,3,3
World War Z: An Oral History of the Zombie War,Default,£21.80,3,1
Wild: From Lost to Found on the Pacific Crest Trail,Default,£46.02,3,3
"Where'd You Go, Bernadette",Default,£18.13,3,1
When You Are Engulfed in Flames,Humor,£30.89,3,5
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,Nonfiction,£31.95,3,3
We Are All Completely Beside Ourselves,Contemporary,£24.04,3,1
Walk the Edge (Thunder Road #2),Young Adult,£32.36,3,3
Voyager (Outlander #3),Historical Fiction,£21.07,3,5
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,Nonfiction,£50.66,3,3
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,Food and Drink,£13.66,3,2
"Unstuffed: Decluttering Your Home, Mind, and Soul",Nonfiction,£58.09,3,1
Under the Banner of Heaven: A Story of Violent Faith,Nonfiction,£30.00,3,1
Two Boys Kissing,Young Adult,£32.74,3,2
Twilight (Twilight #1),Default,£41.93,3,2
Twenties Girl,Womens Fiction,£42.80,3,2
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",Nonfiction,£53.51,3,1
Three-Martini Lunch,Fiction,£23.21,3,3
"Thinking, Fast and Slow",Psychology,£21.14,3,1
The Wild Robot,Childrens,£56.07,3,3
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Sequential Art,£14.41,3,3
The Undomestic Goddess,Womens Fiction,£45.75,3,4
The Travelers,Thriller,£15.77,3,1
The Tipping Point: How Little Things Can Make a Big Difference,Add a comment,£10.02,3,2
The Thing About Jellyfish,Childrens,£48.77,3,1
The Stand,Horror,£57.86,3,2
The Smitten Kitchen Cookbook,Food and Drink,£23.59,3,1
The Silkworm (Cormoran Strike #2),Mystery,£23.05,3,5
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Sequential Art,£55.55,3,5
The Rose & the Dagger (The Wrath and the Dawn #2),Fantasy,£58.64,3,4
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,£23.21,3,1
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),Biography,£42.57,3,3
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),Science Fiction,£10.92,3,1
The Rest Is Noise: Listening to the Twentieth Century,Add a comment,£34.77,3,1
The Red Tent,Historical Fiction,£35.66,3,5
The Purpose Driven Life: What on Earth Am I Here for?,Add a comment,£37.19,3,3
The Purest Hook (Second Circle Tattoos #3),Romance,£12.25,3,1
The Picture of Dorian Gray,Classics,£29.70,3,2
The Paris Wife,Default,£36.80,3,3
The Obsession,Romance,£45.43,3,1
The Nightingale,Fiction,£26.26,3,4
The New Guy (and Other Senior Year Distractions),Young Adult,£44.92,3,3
The Nanny Diaries (Nanny #1),Womens Fiction,£52.53,3,5
The Name of God is Mercy,Nonfiction,£37.25,3,2
The Maze Runner (The Maze Runner #1),Default,£20.93,3,1
The Lover's Dictionary,Default,£58.09,3,2
The Lonely Ones,Childrens,£43.59,3,5
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Business,£33.92,3,3
The Last Painting of Sara de Vos,Historical Fiction,£55.55,3,2
"The Land of 10,000 Madonnas",Young Adult,£29.64,3,4
The Infinities,Fiction,£27.41,3,1
The Husband's Secret,Fiction,£52.51,3,5
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),Add a comment,£47.80,3,3
The Guns of August,History,£14.54,3,2
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,£49.53,3,1
The Goldfinch,Default,£43.58,3,3
The Giver (The Giver Quartet #1),Default,£12.30,3,1
The Girl with All the Gifts,Horror,£49.47,3,3
The Girl Who Played with Fire (Millennium Trilogy #2),Default,£22.14,3,2
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),Add a comment,£57.48,3,1
The Exiled,Mystery,£43.45,3,3
"The End of Faith: Religion, Terror, and the Future of Reason",Add a comment,£22.13,3,4
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Science,£13.03,3,4
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",Science,£57.35,3,5
The Devil Wears Prada (The Devil Wears Prada #1),Womens Fiction,£44.29,3,1
The Demon-Haunted World: Science as a Candle in the Dark,Default,£52.25,3,4
The Day the Crayons Came Home (Crayons),Childrens,£26.33,3,5
The Da Vinci Code (Robert Langdon #2),Fiction,£22.96,3,2
The Cuckoo's Calling (Cormoran Strike #1),Mystery,£19.21,3,1
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Classics,£26.78,3,4
The Complete Poems,Add a comment,£41.32,3,5
The Catcher in the Rye,Add a comment,£24.55,3,1
The Cat in the Hat (Beginner Books B-1),Childrens,£16.26,3,2
The Case for Christ (Cases for Christianity),Add a comment,£47.84,3,1
The Book Thief,Default,£53.49,3,2
The Book of Basketball: The NBA According to The Sports Guy,Sports and Games,£44.84,3,5
The Blind Side: Evolution of a Game,Add a comment,£53.71,3,5
The Autobiography of Malcolm X,Default,£23.43,3,2
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",Food and Drink,£34.32,3,3
The Art of Fielding,Fiction,£22.10,3,1
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Science,£25.83,3,2
Stiff: The Curious Lives of Human Cadavers,Nonfiction,£36.74,3,3
Spilled Milk: Based on a True Story,Nonfiction,£49.51,3,1
Something Borrowed (Darcy & Rachel #1),Womens Fiction,£48.96,3,5
Something Blue (Darcy & Rachel #2),Womens Fiction,£54.62,3,1
Soldier (Talon #3),Fantasy,£24.72,3,2
Shopaholic & Baby (Shopaholic #5),Default,£46.45,3,2
Seven Days in the Art World,Add a comment,£52.33,3,2
Seven Brief Lessons on Physics,Science,£30.60,3,4
Scarlet (The Lunar Chronicles #2),Young Adult,£14.57,3,4
Sarah's Key,Add a comment,£46.29,3,1
"Saga, Volume 3 (Saga (Collected Editions) #3)",Sequential Art,£21.57,3,5
Running with Scissors,Autobiography,£12.91,3,4
Rogue Lawyer (Rogue Lawyer #1),Add a comment,£50.11,3,3
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",Nonfiction,£41.67,3,4
Rework,Business,£44.88,3,2
Reservations for Two,Romance,£11.10,3,3
Red: The True Story of Red Riding Hood,Childrens,£28.54,3,3
Ready Player One,Science Fiction,£19.07,3,4
Quiet: The Power of Introverts in a World That Can't Stop Talking,Default,£43.55,3,1
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Sequential Art,£43.63,3,3
Persepolis: The Story of a Childhood (Persepolis #1-2),Sequential Art,£39.13,3,1
Packing for Mars: The Curious Science of Life in the Void,Default,£56.68,3,2
Outliers: The Story of Success,Nonfiction,£14.16,3,1
Original Fake,Sequential Art,£31.45,3,3
Orange Is the New Black,Default,£24.61,3,2
One for the Money (Stephanie Plum #1),Default,£32.87,3,2
Notes from a Small Island (Notes From a Small Island #1),Nonfiction,£40.17,3,1
Night (The Night Trilogy #1),Nonfiction,£13.51,3,1
Neither Here nor There: Travels in Europe,Travel,£38.95,3,3
Naked,Humor,£31.69,3,3
Morning Star (Red Rising #3),Default,£29.40,3,1
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",Nonfiction,£57.83,3,1
Midnight Riot (Peter Grant/ Rivers of London - books #1),Fantasy,£55.46,3,2
Me Talk Pretty One Day,Autobiography,£57.60,3,2
Manuscript Found in Accra,Add a comment,£34.98,3,2
Lust & Wonder,Autobiography,£11.87,3,2
Lila (Gilead #3),Fiction,£12.47,3,3
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",Science Fiction,£33.26,3,2
Life Without a Recipe,Autobiography,£59.04,3,5
Life After Life,Default,£26.13,3,2
Letter to a Christian Nation,Nonfiction,£22.20,3,1
Let's Pretend This Never Happened: A Mostly True Memoir,Nonfiction,£45.11,3,1
Legend (Legend #1),Young Adult,£43.69,3,4
"Lean In: Women, Work, and the Will to Lead",Default,£25.02,3,1
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Humor,£55.50,3,5
Lady Renegades (Rebel Belle #3),Young Adult,£53.04,3,5
Jurassic Park (Jurassic Park #1),Fiction,£44.97,3,1
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,Nonfiction,£42.38,3,1
Is Everyone Hanging Out Without Me? (And Other Concerns),Default,£20.11,3,3
Into the Wild,Nonfiction,£56.70,3,5
Inferno (Robert Langdon #4),Fiction,£41.00,3,5
